strain,label
CP026711.1,A. baumannii strain AR_0063
CP018332.1,A. baumannii strain A1296
CP033243.1,A. baumannii strain 7835
CP047973.1,A. baumannii strain DETAB-P2
CP065432.1,A. baumannii strain ATCC 17961
CP027611.1,A. baumannii strain AR_0101
CP046654.1,A. baumannii strain ATCC 19606
CP045110.1,A. baumannii strain ATCC 19606
CP051862.1,A. baumannii strain Ab-C102
CP046898.1,A. baumannii strain A1429
CP015364.1,A. baumannii strain 3207
CP018254.1,A. baumannii strain AF-401
CP021347.1,A. baumannii strain B8300
CP033768.1,A. baumannii strain FDAARGOS_533
CP059040.1,A. baumannii strain ATCC 19606
CP015121.1,A. baumannii strain ab736
