block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
682,0,0.026044540000000005,1,3,0.1875,False
520,1,0.02525016,1,3,0.375,False
519,1,0.02525016,1,3,0.375,False
518,1,0.02525016,1,3,0.375,False
535,2,0.024841059999999998,1,3,0.375,False
533,2,0.024841059999999998,1,3,0.375,False
532,2,0.024841059999999998,1,3,0.375,False
545,3,0.024779739999999998,1,3,0.1875,False
544,3,0.024779739999999998,1,3,0.1875,False
543,3,0.024779739999999998,1,3,0.1875,False
36,4,0.024774900000000002,1,3,0.25,False
525,2,0.024115360000000002,1,3,0.375,False
395,5,0.02406566,1,3,0.4375,False
306,6,0.02346306,1,3,0.4375,False
547,7,0.023225620000000002,1,3,0.25,False
448,8,0.02268494,1,3,0.625,False
191,9,0.022647640000000004,1,3,0.375,False
190,9,0.022647640000000004,1,3,0.375,False
185,9,0.022647640000000004,1,3,0.375,False
184,9,0.022647640000000004,1,3,0.375,False
182,9,0.022647640000000004,1,3,0.375,False
39,10,0.022635,1,3,0.625,False
435,11,0.02209124,1,3,0.25,False
434,11,0.02209124,1,3,0.25,False
553,12,0.0215622,1,3,0.375,False
578,9,0.0190138,1,3,0.25,False
577,9,0.0190138,1,3,0.25,False
300,6,0.01831996,1,3,0.5,False
219,13,0.01774908,1,3,0.5,False
436,11,0.017529160000000002,1,3,0.3125,False
495,14,0.017502800000000002,1,3,0.5625,False
522,15,0.016474440000000003,1,3,0.625,False
505,16,0.01635626,1,3,0.5625,False
37,4,0.01635626,1,3,0.4375,False
528,15,0.016299320000000003,1,3,0.5625,False
527,15,0.016299320000000003,1,3,0.5625,False
526,15,0.016299320000000003,1,3,0.5625,False
494,17,0.0160335,1,3,0.4375,False
493,17,0.0160335,1,3,0.4375,False
136,18,0.015325600000000002,2,4,1.4375,False
135,19,0.013059240000000001,2,4,1.25,False
59,20,0.012263610000000001,2,4,0.25,False
620,21,0.009382429999999999,2,4,0.3125,False
783,22,0.009299690000000001,1,2,0.125,False
782,22,0.009299690000000001,1,2,0.125,False
775,23,0.00921213,1,2,0.125,False
225,24,0.009191340000000001,1,2,0.875,False
224,24,0.009191340000000001,1,2,0.875,False
773,25,0.008973510000000002,1,2,0.125,False
772,25,0.008973510000000002,1,2,0.125,False
227,24,0.008865160000000002,1,2,0.875,False
778,26,0.008609440000000001,1,2,0.125,False
640,27,0.008604890000000002,1,2,0.1875,False
536,2,0.008512510000000001,1,2,0.3125,False
542,3,0.00850673,1,2,0.125,False
779,28,0.008506290000000001,1,2,0.25,False
777,29,0.008506290000000001,1,2,0.125,False
776,29,0.008506290000000001,1,2,0.125,False
548,30,0.008506290000000001,1,2,0.5,False
696,31,0.008460520000000001,1,2,0.125,False
688,32,0.008460520000000001,1,2,0.125,False
687,32,0.008460520000000001,1,2,0.125,False
594,33,0.008460520000000001,1,2,0.5,False
593,33,0.008460520000000001,1,2,0.375,False
592,33,0.008460520000000001,1,2,0.5,False
720,34,0.008428789999999999,1,2,0.125,False
719,34,0.008428789999999999,1,2,0.125,False
316,35,0.008428789999999999,1,2,0.8125,False
315,35,0.008428789999999999,1,2,0.8125,False
237,36,0.008428789999999999,1,2,0.875,False
695,37,0.008424000000000001,1,2,0.125,False
253,38,0.008424000000000001,1,2,0.875,False
780,39,0.008409540000000002,1,2,0.125,False
323,35,0.00832189,1,2,0.875,False
289,40,0.008303790000000002,1,2,0.8125,False
685,41,0.0082267,1,2,0.1875,False
684,41,0.0082267,1,2,0.1875,False
749,42,0.00818011,1,2,0.125,False
747,42,0.00818011,1,2,0.125,False
746,42,0.00818011,1,2,0.125,False
741,39,0.00818011,1,2,0.125,False
345,43,0.00818011,1,2,0.875,False
344,43,0.00818011,1,2,0.875,False
342,44,0.00818011,1,2,1.875,False
240,45,0.00816552,1,2,0.8125,False
727,46,0.00810261,1,2,0.125,False
726,46,0.00810261,1,2,0.125,False
717,34,0.00810261,1,2,0.125,False
368,47,0.00810261,1,2,1.375,False
639,32,0.008023170000000001,1,2,0.125,False
183,48,0.007997190000000001,1,2,0.125,False
742,49,0.00799571,1,2,0.125,False
738,50,0.00799571,1,2,0.1875,False
317,35,0.00799571,1,2,0.875,False
673,51,0.00796963,1,2,0.3125,False
394,5,0.00781336,1,2,0.375,False
393,5,0.00781336,1,2,0.375,False
392,5,0.00781336,1,2,0.375,False
391,5,0.00781336,1,2,0.375,False
644,52,0.007765720000000001,1,2,0.25,False
601,53,0.007541259999999999,1,2,0.375,False
99,54,0.0074871799999999995,1,2,0.375,False
98,54,0.0074871799999999995,1,2,0.375,False
352,55,0.00747527,1,2,0.8125,False
350,55,0.00747527,1,2,0.8125,False
347,55,0.00747527,1,2,0.8125,False
767,22,0.00737141,1,2,0.1875,False
766,22,0.00737141,1,2,0.1875,False
765,22,0.00737141,1,2,0.1875,False
764,56,0.00737141,1,2,0.1875,False
595,57,0.007326350000000001,1,2,0.3125,False
631,58,0.007279379999999999,1,2,0.25,False
555,12,0.00727797,1,2,0.25,False
554,12,0.00727797,1,2,0.25,False
245,24,0.00726306,1,2,0.8125,False
242,59,0.00720493,1,2,0.625,False
694,56,0.00718597,1,2,0.1875,False
686,60,0.00718597,1,2,0.1875,False
