id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,1h–3t,6137,0,0,0,0.004608419999999999,2,False
2,199h–200t,5545,0,0,0,0.004608419999999999,2,False
3,97h–98t,10766,0,0,0,0,0,True
4,95h–97t,30642,0,0,0,0,0,True
5,93h–94t,1159,0,0,0,0,0,True
6,16h–17t,15687,0,0,0,0,0,True
7,163h–164t,188,0,0,0,0,0,True
8,162h–163t,1275,0,0,0,0,0,True
9,15h–16t,8734,0,0,0,0,0,True
10,155h–157t,31688,0,0,0,0,0,True
11,154h–155t,13587,0,0,0,0,0,True
12,144h–145t,29053,0,0,0,0,0,True
13,142h–144t,21107,0,0,0,0,0,True
14,141h–142t,5449,0,0,0,0,0,True
15,140h–141t,42727,0,0,0,0,0,True
16,132h–133t,19723,0,0,0,0,0,True
17,130h–132t,9380,0,0,0,0,0,True
18,127h–129t,27758,0,0,0,0,0,True
19,124h–126t,14008,0,0,0,0,0,True
20,123h–124t,1,0,0,0,0,0,True
21,122h–123t,10921,0,0,0,0,0,True
22,121h–122t,1,0,0,0,0,0,True
23,119h–120t,1272,0,0,0,0,0,True
24,106h–107t,1940,0,0,0,0,0,True
25,105h–106t,4995,0,0,0,0,1,True
26,101t–98h,78400,0,0,0,0,0,True
