block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
15,0,0.32956070000000004,2,6,3.8181818181818183,False
22,1,0,0,0,1,True
21,2,0,0,0,1.0454545454545454,True
20,3,0,0,0,1,True
19,3,0,0,0,1,True
18,3,0,0,0,1,True
17,4,0,0,0,1,True
16,4,0,0,0,1,True
14,4,0,0,0,1,True
13,4,0,0,0,1,True
12,5,0,0,0,1,True
11,5,0,0,0,1,True
10,5,0,0,0,1,True
9,6,0,0,0,1,True
8,6,0,0,0,1,True
7,6,0,0,0,1,True
6,7,0,0,0,1,True
5,7,0,0,0,1,True
4,7,0,0,0,1,True
3,1,0,0,0,1,True
2,1,0,0,0,1,True
1,1,0,0,0,1,True
