id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,11t–12t,75866,0.10566058,2,7,1.35376566,13,False
2,11h–7h,10742,0.10566058,2,7,0.7701955999999999,10,False
3,28h–32t,102751,0.005530200000000001,1,2,0.36146378000000007,6,False
4,68h–69t,24251,0,0,0,0.23155778,5,False
5,17h–19t,42336,0,0,0,0.10168978000000001,4,False
6,5h–6t,7893,0,0,0,0.0530252,2,False
7,67h–68t,1816,0,0,0,0.04318309000000001,2,False
8,76h–81t,85116,0,0,0,0.0244913,2,False
9,2h–3t,17665,0,0,0,0.02154888,3,False
10,35h–36t,1567,0,0,0,0.012338690000000001,2,False
11,40h–41t,8591,0,0,0,0.00744912,2,False
12,41h–42t,40,0,0,0,0.0046416899999999995,2,False
13,36h–37t,3240,0,0,0,0.0046416899999999995,2,False
14,27h–28t,2816,0,0,0,0.0037885899999999997,2,False
15,23h–24t,23446,0,0,0,0.0037885899999999997,2,False
16,81h–82t,3469,0,0,0,0,1,True
17,74h–76t,22101,0,0,0,0,1,True
18,69h–70t,15466,0,0,0,0,1,True
19,65h–66t,2709,0,0,0,0,1,True
20,64h–65t,1,0,0,0,0,1,True
21,60h–61t,43637,0,0,0,0,1,True
22,56h–60t,18372,0,0,0,0,1,True
23,55h–56t,101,0,0,0,0,1,True
24,54h–55t,228,0,0,0,0,1,True
25,53h–54t,13231,0,0,0,0,1,True
26,42h–43t,18625,0,0,0,0,1,True
27,38h–39t,700,0,0,0,0,1,True
28,37h–38t,12054,0,0,0,0,1,True
29,34h–35t,1425,0,0,0,0,1,True
30,24h–25t,846,0,0,0,0,0,True
31,20h–21t,21073,0,0,0,0,1,True
32,1h–2t,1376,0,0,0,0,1,True
33,14h–15t,3031,0,0,0,0,1,True
