block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
64,0,0.3779085500000001,2,11,0.47368421052631576,False
132,1,0.19796213,1,6,0.21052631578947367,False
131,1,0.19796213,1,6,0.21052631578947367,False
124,2,0.09860702000000002,2,7,0.5,False
125,3,0.07683809999999999,2,6,0.39473684210526316,False
20,4,0.030043089999999998,1,4,0.23684210526315788,False
133,5,0.02360525,1,2,0.18421052631578946,False
135,6,0.019530319999999997,1,3,0.07894736842105263,False
137,7,0.0064883,1,2,0.05263157894736842,False
47,8,0.0064172000000000005,1,2,0.07894736842105263,False
19,9,0.0062615,1,2,0.21052631578947367,False
13,10,0.0056443,1,2,0.9473684210526315,False
126,11,0.00551472,1,2,0.05263157894736842,False
129,12,0.00275069,1,2,0.05263157894736842,False
138,13,0.00021039000000000002,1,2,0.10526315789473684,False
130,14,5.166e-05,1,2,0.13157894736842105,False
145,15,0,0,0,0.10526315789473684,True
144,15,0,0,0,0.10526315789473684,True
143,16,0,0,0,0.07894736842105263,True
142,17,0,0,0,0.10526315789473684,True
141,18,0,0,0,0.07894736842105263,True
140,18,0,0,0,0.10526315789473684,True
139,19,0,0,0,0.05263157894736842,True
136,20,0,0,0,0.15789473684210525,True
134,21,0,0,0,0.07894736842105263,True
128,22,0,0,0,0.2631578947368421,True
127,23,0,0,0,0.21052631578947367,True
123,24,0,0,0,1,True
122,24,0,0,0,1,True
121,24,0,0,0,1,True
120,24,0,0,0,1,True
119,24,0,0,0,1,True
118,24,0,0,0,1,True
117,24,0,0,0,1,True
116,24,0,0,0,1,True
115,24,0,0,0,1,True
114,24,0,0,0,1,True
113,24,0,0,0,1,True
112,25,0,0,0,0.05263157894736842,True
111,24,0,0,0,1,True
110,24,0,0,0,1,True
109,24,0,0,0,1,True
108,24,0,0,0,1,True
107,26,0,0,0,1,True
106,26,0,0,0,1,True
105,26,0,0,0,1,True
104,26,0,0,0,1,True
103,26,0,0,0,1,True
102,26,0,0,0,1,True
101,26,0,0,0,1,True
100,26,0,0,0,1,True
99,27,0,0,0,1.0526315789473684,True
98,27,0,0,0,1.0263157894736843,True
97,27,0,0,0,1.0263157894736843,True
96,27,0,0,0,1.0263157894736843,True
95,26,0,0,0,1,True
94,26,0,0,0,1,True
93,26,0,0,0,1,True
92,26,0,0,0,1,True
91,26,0,0,0,1,True
90,26,0,0,0,1,True
89,28,0,0,0,1.0263157894736843,True
88,29,0,0,0,1,True
87,29,0,0,0,1,True
86,29,0,0,0,1,True
85,29,0,0,0,1,True
84,29,0,0,0,1,True
83,29,0,0,0,1,True
82,30,0,0,0,1.0263157894736843,True
81,29,0,0,0,1,True
80,29,0,0,0,1,True
79,29,0,0,0,1,True
78,29,0,0,0,1,True
77,29,0,0,0,1,True
76,29,0,0,0,1,True
75,29,0,0,0,1,True
74,29,0,0,0,1,True
73,29,0,0,0,1,True
72,29,0,0,0,1,True
71,29,0,0,0,1,True
70,29,0,0,0,1,True
69,29,0,0,0,1,True
68,31,0,0,0,1,True
67,31,0,0,0,1,True
66,31,0,0,0,1,True
65,32,0,0,0,0.9736842105263158,True
63,31,0,0,0,1,True
62,31,0,0,0,1,True
61,31,0,0,0,1,True
60,31,0,0,0,1,True
59,31,0,0,0,1,True
58,31,0,0,0,1,True
57,31,0,0,0,1,True
56,31,0,0,0,1,True
55,31,0,0,0,1,True
54,31,0,0,0,1,True
53,31,0,0,0,1,True
52,31,0,0,0,1,True
51,31,0,0,0,1,True
50,31,0,0,0,1,True
49,31,0,0,0,1,True
48,31,0,0,0,1,True
46,31,0,0,0,1,True
45,31,0,0,0,1,True
44,31,0,0,0,1,True
43,31,0,0,0,1,True
42,31,0,0,0,1,True
41,33,0,0,0,1,True
40,33,0,0,0,1,True
39,33,0,0,0,1,True
38,33,0,0,0,1,True
37,33,0,0,0,1,True
36,33,0,0,0,1,True
35,33,0,0,0,1,True
34,33,0,0,0,1,True
33,33,0,0,0,1,True
32,33,0,0,0,1,True
31,33,0,0,0,1,True
30,33,0,0,0,1,True
29,33,0,0,0,1,True
28,33,0,0,0,1,True
27,33,0,0,0,1,True
26,33,0,0,0,1,True
25,33,0,0,0,1,True
24,33,0,0,0,1,True
23,33,0,0,0,1,True
22,33,0,0,0,1,True
21,34,0,0,0,0.8947368421052632,True
18,33,0,0,0,1,True
17,33,0,0,0,1,True
16,33,0,0,0,1,True
15,33,0,0,0,1,True
14,33,0,0,0,1,True
12,33,0,0,0,1,True
11,35,0,0,0,1.0263157894736843,True
10,35,0,0,0,1.0263157894736843,True
9,35,0,0,0,1.0263157894736843,True
8,35,0,0,0,1.0526315789473684,True
7,33,0,0,0,1,True
6,33,0,0,0,1,True
5,33,0,0,0,1,True
4,33,0,0,0,1,True
3,24,0,0,0,1,True
2,24,0,0,0,1,True
1,24,0,0,0,1,True
