block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
146,0,0.3779085500000001,2,11,0.47368421052631576,False
145,0,0.3779085500000001,2,11,0.47368421052631576,False
144,0,0.31296736999999997,2,10,0.4473684210526316,False
312,1,0.26947798000000006,1,7,0.23684210526315788,False
319,2,0.26703282,1,6,0.21052631578947367,False
278,3,0.22983361,1,6,0.5526315789473685,False
147,0,0.22908127,2,10,0.39473684210526316,False
322,2,0.19905213000000005,1,6,0.2631578947368421,False
387,4,0.19796213,1,6,0.21052631578947367,False
386,4,0.19796213,1,6,0.21052631578947367,False
385,4,0.19796213,1,6,0.21052631578947367,False
321,2,0.18119512000000004,2,8,0.3684210526315789,False
320,2,0.18119512000000004,2,8,0.3684210526315789,False
318,2,0.18119512000000004,2,8,0.3684210526315789,False
43,5,0.13027680999999997,2,7,0.5789473684210527,False
214,6,0.11270246,1,5,0.5,False
280,7,0.09969612,1,4,0.7631578947368421,False
30,8,0.09902867,1,4,5.2105263157894735,False
306,9,0.09860702000000002,2,7,0.5,False
305,9,0.09860702000000002,2,7,0.5,False
304,9,0.09860702000000002,2,7,0.5,False
303,9,0.09860702000000002,2,7,0.5,False
316,10,0.08232647,1,4,0.10526315789473684,False
375,11,0.0783776,1,4,0.13157894736842105,False
330,12,0.07812762000000001,1,4,0.15789473684210525,False
328,13,0.07788857,1,4,0.13157894736842105,False
313,14,0.07683809999999999,2,6,0.39473684210526316,False
302,15,0.07098167,1,4,0.2631578947368421,False
401,16,0.06802668,1,3,0.13157894736842105,False
29,8,0.06642369,2,5,5.2631578947368425,False
289,17,0.047923740000000006,1,3,0.6842105263157895,False
453,18,0.0478548,1,3,0.07894736842105263,False
336,19,0.0455595,1,3,0.2894736842105263,False
291,20,0.04482643,2,5,0.7105263157894737,False
311,21,0.043793780000000004,1,3,0.18421052631578946,False
307,22,0.04319958,1,3,0.07894736842105263,False
345,23,0.04284544000000001,1,3,0.15789473684210525,False
285,24,0.04262773,2,5,0.7368421052631579,False
7,25,0.04154592,1,3,0.23684210526315788,False
317,26,0.041265680000000006,1,3,0.10526315789473684,False
377,26,0.0407139,1,3,0.10526315789473684,False
376,26,0.0407139,1,3,0.10526315789473684,False
323,27,0.03090066,1,3,0.18421052631578946,False
