id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,11h–20t,76248,0,0,0,0.048260460000000005,3,False
2,131h–132t,7606,0,0,0,0.01875686,3,False
3,121h–126t,63846,0,0,0,0.0071109400000000005,2,False
4,89h–90t,181,0,0,0,0,0,True
5,86h–89t,21671,0,0,0,0,1,True
6,31h–32t,4788,0,0,0,0,0,True
7,28h–31t,24507,0,0,0,0,0,True
8,21h–22t,1214,0,0,0,0,0,True
9,20h–21t,3540,0,0,0,0,0,True
10,150h–151t,3915,0,0,0,0,0,True
11,149h–150t,107,0,0,0,0,0,True
12,141h–143t,10716,0,0,0,0,0,True
13,140h–141t,13741,0,0,0,0,1,True
14,133h–134t,6492,0,0,0,0,1,True
15,120h–121t,993,0,0,0,0,1,True
16,111h–112t,1418,0,0,0,0,1,True
17,109h–110t,4950,0,0,0,0,1,True
