strain,label
CP004752.2,Mannheimia haemolytica USDA-ARS-USMARC-183
CP004753.2,Mannheimia haemolytica USDA-ARS-USMARC-185
CP005383.1,Mannheimia haemolytica M42548
CP005972.1,Mannheimia haemolytica D153
CP006573.1,Mannheimia haemolytica D171
CP006574.1,Mannheimia haemolytica D174
CP006619.1,Mannheimia haemolytica USMARC_2286
CP006957.2,Mannheimia haemolytica USDA-ARS-USMARC-184
CP011098.1,Mannheimia haemolytica strain 89010807N
CP011099.1,Mannheimia haemolytica strain 89010807N lktA-
CP023043.1,Mannheimia haemolytica strain 193
CP023044.1,Mannheimia haemolytica strain 191
CP023046.1,Mannheimia haemolytica strain 187
CP023047.1,Mannheimia haemolytica strain 186
CP026858.1,Mannheimia haemolytica strain 11935
CP026857.1,Mannheimia haemolytica strain 12540
CP017551.1,Mannheimia haemolytica strain 1287
CP017550.1,Mannheimia haemolytica strain 1309
CP017549.1,Mannheimia haemolytica strain 1318
CP017548.1,Mannheimia haemolytica strain 1319
CP017544.1,Mannheimia haemolytica strain 1373
CP017543.1,Mannheimia haemolytica strain 1383
CP017540.1,Mannheimia haemolytica strain 1451
CP017539.1,Mannheimia haemolytica strain 1454
CP017538.1,Mannheimia haemolytica strain 1471
CP017537.1,Mannheimia haemolytica strain 1475
CP017536.1,Mannheimia haemolytica strain 1476
CP017535.1,Mannheimia haemolytica strain 1498
CP017534.1,Mannheimia haemolytica strain 1503
CP017533.1,Mannheimia haemolytica strain 1506
CP017532.1,Mannheimia haemolytica strain 1512
CP017531.1,Mannheimia haemolytica strain 1514
CP017530.1,Mannheimia haemolytica strain 1532
CP017528.1,Mannheimia haemolytica strain 1561
CP017524.1,Mannheimia haemolytica strain 1576
CP017523.1,Mannheimia haemolytica strain 1582
CP017520.1,Mannheimia haemolytica strain 1609
CP017519.1,Mannheimia haemolytica strain 22549
CP017506.1,Mannheimia haemolytica strain 28488
CP017505.1,Mannheimia haemolytica strain 32619
CP017504.1,Mannheimia haemolytica strain 32635
CP017501.1,Mannheimia haemolytica strain 33041
CP017491.1,Mannheimia haemolytica strain 38599
