block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
190,0,0.04782254,1,7,0.813953488372093,False
150,1,0.03510861,1,6,0.813953488372093,False
154,1,0.034404239999999996,1,5,0.8604651162790697,False
152,1,0.034404239999999996,1,5,0.8604651162790697,False
187,0,0.031706000000000005,1,7,0.7906976744186046,False
186,0,0.031706000000000005,1,7,0.7906976744186046,False
189,0,0.03169987999999999,1,6,0.8372093023255814,False
153,1,0.02786596,1,5,0.8372093023255814,False
151,1,0.02786596,1,5,0.8372093023255814,False
185,0,0.02518254,1,5,0.8604651162790697,False
184,0,0.02518254,1,5,0.8604651162790697,False
183,0,0.02518254,1,5,0.8604651162790697,False
297,2,0.02377595,2,6,0.9069767441860465,False
281,3,0.02263557,2,9,0.627906976744186,False
280,3,0.02263557,2,9,0.627906976744186,False
149,1,0.02166248,1,5,0.8372093023255814,False
159,4,0.02161856,3,10,2.1627906976744184,False
162,5,0.0214816,1,5,0.7674418604651163,False
161,5,0.0214816,1,5,0.7906976744186046,False
160,5,0.0214816,1,5,0.7906976744186046,False
155,1,0.02096437,1,4,0.8837209302325582,False
172,6,0.01850419,1,4,0.8372093023255814,False
188,0,0.018269430000000007,1,6,0.813953488372093,False
257,7,0.01718716,1,4,0.9069767441860465,False
60,8,0.01629977,1,4,0.8837209302325582,False
59,8,0.01629977,1,4,0.9069767441860465,False
58,8,0.01629977,1,4,0.9534883720930233,False
116,9,0.014652779999999999,1,5,0.8604651162790697,False
298,2,0.01402616,2,7,0.9302325581395349,False
296,2,0.01402616,2,7,0.9302325581395349,False
300,10,0.013496919999999999,2,9,0.5813953488372093,False
299,2,0.013433199999999998,2,6,0.9534883720930233,False
295,2,0.013433199999999998,2,6,0.9534883720930233,False
294,2,0.013433199999999998,2,6,0.9534883720930233,False
293,2,0.013433199999999998,2,6,0.9534883720930233,False
292,2,0.013433199999999998,2,6,0.9534883720930233,False
90,11,0.01331533,1,4,1.8837209302325582,False
62,8,0.01079972,1,3,0.9302325581395349,False
61,8,0.01079972,1,3,0.9069767441860465,False
137,12,0.01069765,1,4,0.5348837209302325,False
258,7,0.01043596,1,3,0.9302325581395349,False
169,13,0.01041456,2,6,0.7441860465116279,False
127,14,0.0103081,1,3,0.9069767441860465,False
167,15,0.008472660000000002,2,7,1.2790697674418605,False
304,16,0.00776009,1,2,0.046511627906976744,False
166,15,0.007461790000000001,2,6,1.302325581395349,False
165,15,0.007461790000000001,2,6,1.3255813953488371,False
163,15,0.007461790000000001,2,6,1.3255813953488371,False
158,15,0.007461790000000001,2,6,1.372093023255814,False
57,8,0.0070212799999999995,1,3,0.9534883720930233,False
133,14,0.0069088199999999995,1,3,0.9069767441860465,False
322,17,0.00611602,1,2,0.046511627906976744,False
4,18,0.005995660000000001,3,9,2.627906976744186,False
168,13,0.0053841,1,4,0.7209302325581395,False
42,11,0.00515661,1,2,1.9534883720930232,False
64,8,0.0051186800000000005,1,2,1,False
63,8,0.0051118,1,2,0.9767441860465116,False
202,19,0.005074,1,2,0.9302325581395349,False
201,19,0.005074,1,2,0.9302325581395349,False
114,20,0.00386974,2,5,2.0697674418604652,False
204,19,0.0035220399999999997,1,2,0.9302325581395349,False
96,21,0.0035220399999999997,1,2,0.9302325581395349,False
206,19,0.00348411,1,2,0.9069767441860465,False
205,19,0.00348411,1,2,0.9069767441860465,False
56,8,0.00348411,1,2,0.9767441860465116,False
126,14,0.00347594,1,2,0.9302325581395349,False
279,22,0.0034567499999999998,1,2,0.627906976744186,False
291,23,0.0034076799999999997,1,2,0.8372093023255814,False
290,23,0.0034076799999999997,1,2,0.8372093023255814,False
164,15,0.00238779,1,4,1.372093023255814,False
5,24,0.00208282,2,5,1.8604651162790697,False
52,25,0.0009713800000000001,1,2,5.767441860465116,False
21,26,0.0009713800000000001,1,2,1.9534883720930232,False
178,27,0.0006960200000000001,3,7,1.9069767441860466,False
301,28,0.00054138,1,2,0.046511627906976744,False
285,29,0.00048635,2,5,0.2558139534883721,False
284,29,0.00048635,2,5,0.2558139534883721,False
283,29,0.00048635,2,5,0.2558139534883721,False
282,29,0.00048635,2,5,0.2558139534883721,False
138,12,0.0003544,1,3,0.5813953488372093,False
171,14,0.00011757,1,2,0.9534883720930233,False
170,14,0.00011757,1,2,0.9534883720930233,False
326,30,6.286e-05,1,2,0.09302325581395349,False
288,31,5.058e-05,1,2,0.5116279069767442,False
287,31,5.058e-05,1,2,0.4186046511627907,False
286,31,5.058e-05,1,2,0.4186046511627907,False
113,32,2.4290000000000003e-05,1,2,1.2093023255813953,False
110,32,2.4290000000000003e-05,1,2,1.2093023255813953,False
325,33,0,0,0,0.046511627906976744,True
324,33,0,0,0,0.046511627906976744,True
323,33,0,0,0,0.046511627906976744,True
321,16,0,0,0,0.046511627906976744,True
320,16,0,0,0,0.046511627906976744,True
319,16,0,0,0,0.046511627906976744,True
318,34,0,0,0,0.046511627906976744,True
317,34,0,0,0,0.046511627906976744,True
316,35,0,0,0,0.046511627906976744,True
315,35,0,0,0,0.046511627906976744,True
314,35,0,0,0,0.046511627906976744,True
313,17,0,0,0,0.046511627906976744,True
312,17,0,0,0,0.046511627906976744,True
311,17,0,0,0,0.046511627906976744,True
310,17,0,0,0,0.046511627906976744,True
309,17,0,0,0,0.046511627906976744,True
308,17,0,0,0,0.046511627906976744,True
307,16,0,0,0,0.046511627906976744,True
306,16,0,0,0,0.09302325581395349,True
305,36,0,0,0,0.046511627906976744,True
303,37,0,0,0,0.11627906976744186,True
302,37,0,0,0,0.11627906976744186,True
289,31,0,0,0,0.4186046511627907,True
278,38,0,0,0,1,True
