id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,91h–92t,5345,0.0038981700000000003,2,5,0.04201082999999999,6,False
2,62h–64t,45683,0.00095973,3,9,0.10953185,14,False
3,51h–52t,24683,0.00084026,3,9,0.007451540000000002,10,False
4,55h–56t,3122,0.00072734,1,3,0.00072734,3,False
5,52h–53t,1026,0.00072734,1,3,0.00072734,3,False
6,19h–21t,5549,0.00038176,1,3,0.00038176,3,False
7,64h–65t,21497,0.00027701,3,7,0.00206764,10,False
8,35h–36t,3737,0.00027578,2,5,0.036067100000000005,9,False
9,43h–44t,36963,0.00022128,1,3,0.006932560000000001,6,False
10,40h–41t,5295,0.00020854,3,7,0.0013609599999999998,8,False
11,36h–37t,8630,5.4499999999999997e-05,1,2,0.00081664,3,False
12,100h–101t,10272,0,0,0,0.016717569999999998,4,False
13,93h–94t,12002,0,0,0,0.01644692,5,False
14,96h–97t,5670,0,0,0,0.013198099999999999,3,False
15,66h–67t,19606,0,0,0,0.00478864,3,False
16,4h–5t,667,0,0,0,0.0039004699999999996,2,False
17,12h–13t,718,0,0,0,0.0039004699999999996,2,False
18,38h–39t,27863,0,0,0,0.00352129,2,False
19,11h–12t,22405,0,0,0,0.00210446,3,False
20,87h–88t,5,0,0,0,0.00163457,2,False
21,98h–99t,1,0,0,0,0,0,True
22,97h–98t,1031,0,0,0,0,1,True
23,94h–95t,1871,0,0,0,0,1,True
24,89h–90t,13228,0,0,0,0,1,True
25,88h–89t,5983,0,0,0,0,1,True
26,86h–87t,1,0,0,0,0,1,True
27,82h–83t,585,0,0,0,0,1,True
28,80h–81t,52,0,0,0,0,1,True
29,73h–74t,1059,0,0,0,0,1,True
30,72h–73t,2976,0,0,0,0,1,True
31,71h–72t,4014,0,0,0,0,1,True
32,61h–62t,144,0,0,0,0,0,True
33,60h–61t,24595,0,0,0,0,0,True
34,57h–58t,1,0,0,0,0,0,True
35,56h–57t,6027,0,0,0,0,0,True
36,54h–55t,1982,0,0,0,0,1,True
37,49h–50t,382,0,0,0,0,0,True
38,48h–49t,5473,0,0,0,0,1,True
39,44h–45t,4779,0,0,0,0,1,True
40,42h–43t,23165,0,0,0,0,0,True
41,39h–40t,3675,0,0,0,0,1,True
42,37h–38t,1,0,0,0,0,0,True
43,34h–35t,6248,0,0,0,0,1,True
44,31h–32t,1672,0,0,0,0,1,True
45,28h–29t,84,0,0,0,0,1,True
46,25h–26t,1,0,0,0,0,0,True
47,24h–25t,1,0,0,0,0,0,True
48,21h–22t,545,0,0,0,0,1,True
49,10t–9h,1,0,0,0,0,0,True
50,100t–99h,611,0,0,0,0,0,True
