block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
155,0,0.01583353,1,2,0.15789473684210525,False
154,1,0.008481240000000001,1,2,0.3684210526315789,False
143,2,0.00789309,1,2,0.3157894736842105,False
156,3,0.00651986,1,2,0.15789473684210525,False
37,4,0.00629196,1,2,0.5789473684210527,False
115,5,0.00032262999999999997,1,2,1.8421052631578947,False
162,6,0,0,0,0.15789473684210525,True
161,7,0,0,0,0.21052631578947367,True
160,7,0,0,0,0.21052631578947367,True
159,8,0,0,0,0.21052631578947367,True
158,9,0,0,0,0.10526315789473684,True
157,9,0,0,0,0.10526315789473684,True
153,10,0,0,0,0.2631578947368421,True
152,11,0,0,0,0.2631578947368421,True
151,11,0,0,0,0.2631578947368421,True
150,12,0,0,0,0.2631578947368421,True
149,12,0,0,0,0.2631578947368421,True
148,10,0,0,0,0.2631578947368421,True
147,10,0,0,0,0.21052631578947367,True
146,10,0,0,0,0.2631578947368421,True
145,12,0,0,0,0.2631578947368421,True
144,13,0,0,0,0.47368421052631576,True
142,14,0,0,0,1,True
141,14,0,0,0,1,True
140,14,0,0,0,1,True
139,14,0,0,0,1,True
138,14,0,0,0,1,True
137,14,0,0,0,1,True
136,14,0,0,0,1,True
135,14,0,0,0,1,True
134,14,0,0,0,1,True
133,14,0,0,0,1,True
132,14,0,0,0,1,True
131,14,0,0,0,1,True
130,14,0,0,0,1,True
129,14,0,0,0,1,True
128,14,0,0,0,1,True
127,15,0,0,0,0.47368421052631576,True
126,14,0,0,0,1,True
125,14,0,0,0,1,True
124,14,0,0,0,1,True
123,16,0,0,0,1,True
122,16,0,0,0,1,True
121,16,0,0,0,1,True
120,16,0,0,0,1,True
119,16,0,0,0,1,True
118,16,0,0,0,1,True
117,16,0,0,0,1,True
116,16,0,0,0,1,True
114,16,0,0,0,1,True
113,16,0,0,0,1,True
112,16,0,0,0,1,True
111,17,0,0,0,0.7894736842105263,True
110,15,0,0,0,0.47368421052631576,True
109,15,0,0,0,0.47368421052631576,True
108,16,0,0,0,1,True
107,16,0,0,0,1,True
106,16,0,0,0,1,True
105,16,0,0,0,1,True
104,16,0,0,0,1,True
103,16,0,0,0,1,True
102,16,0,0,0,1,True
101,16,0,0,0,1,True
100,16,0,0,0,1,True
99,16,0,0,0,1,True
98,16,0,0,0,1,True
97,16,0,0,0,1,True
96,16,0,0,0,1,True
95,16,0,0,0,1,True
94,18,0,0,0,1,True
93,18,0,0,0,1,True
92,18,0,0,0,1,True
91,18,0,0,0,1,True
90,18,0,0,0,1,True
89,18,0,0,0,1,True
88,18,0,0,0,1,True
87,18,0,0,0,1,True
86,18,0,0,0,1,True
85,18,0,0,0,1,True
84,18,0,0,0,1,True
83,18,0,0,0,1,True
82,18,0,0,0,1,True
81,18,0,0,0,1,True
80,18,0,0,0,1,True
79,18,0,0,0,1,True
78,18,0,0,0,1,True
77,18,0,0,0,1,True
76,18,0,0,0,1,True
75,18,0,0,0,1,True
74,18,0,0,0,1,True
73,19,0,0,0,4,True
72,18,0,0,0,1,True
71,18,0,0,0,1,True
70,18,0,0,0,1,True
69,18,0,0,0,1,True
68,20,0,0,0,0.7368421052631579,True
67,18,0,0,0,1,True
66,18,0,0,0,1,True
65,18,0,0,0,1,True
64,18,0,0,0,1,True
63,18,0,0,0,0.9473684210526315,True
62,18,0,0,0,1,True
61,18,0,0,0,1,True
60,18,0,0,0,1,True
59,18,0,0,0,1,True
58,18,0,0,0,1,True
57,18,0,0,0,1,True
56,18,0,0,0,1,True
55,18,0,0,0,1,True
54,18,0,0,0,1,True
53,18,0,0,0,1,True
52,18,0,0,0,1,True
51,18,0,0,0,1,True
50,21,0,0,0,1,True
49,21,0,0,0,1,True
48,21,0,0,0,1,True
47,21,0,0,0,1,True
46,21,0,0,0,1,True
45,22,0,0,0,0.631578947368421,True
44,22,0,0,0,0.631578947368421,True
43,21,0,0,0,1,True
42,21,0,0,0,1,True
41,21,0,0,0,1,True
40,21,0,0,0,1,True
39,21,0,0,0,1,True
38,21,0,0,0,1,True
36,21,0,0,0,1,True
35,21,0,0,0,1,True
34,21,0,0,0,1,True
33,21,0,0,0,1,True
32,21,0,0,0,1,True
31,21,0,0,0,1,True
30,21,0,0,0,1,True
29,21,0,0,0,1,True
28,21,0,0,0,1,True
27,21,0,0,0,1,True
26,21,0,0,0,1,True
25,21,0,0,0,1,True
24,21,0,0,0,1,True
23,21,0,0,0,1,True
22,21,0,0,0,1,True
21,21,0,0,0,1,True
20,21,0,0,0,1,True
19,21,0,0,0,1,True
18,21,0,0,0,0.9473684210526315,True
17,21,0,0,0,1,True
16,21,0,0,0,1,True
15,21,0,0,0,1,True
14,21,0,0,0,1,True
13,21,0,0,0,1,True
12,21,0,0,0,1,True
11,21,0,0,0,1,True
10,21,0,0,0,1,True
9,21,0,0,0,1,True
8,21,0,0,0,1,True
7,14,0,0,0,1,True
6,14,0,0,0,1,True
5,14,0,0,0,1,True
4,14,0,0,0,1,True
3,14,0,0,0,1,True
2,14,0,0,0,1,True
1,14,0,0,0,1,True
