id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,1t–285h,1,0,0,0,0.00099555,2,False
2,174h–175t,895,0,0,0,0.00099555,2,False
3,173h–174t,860,0,0,0,0.00099555,2,False
4,16h–17t,569,0,0,0,0.00099555,2,False
5,13h–14t,3061,0,0,0,0.00099555,2,False
6,12h–13t,1456,0,0,0,0.00099555,2,False
7,171h–173t,3701,0,0,0,0.0009758799999999999,2,False
8,120h–121t,3574,0,0,0,0.00027471,2,False
9,88h–91t,6353,0,0,0,0.00025863,2,False
10,176h–181t,26580,0,0,0,0.00025863,2,False
11,84h–85t,699,0,0,0,0,0,True
12,82h–83t,1,0,0,0,0,0,True
13,77h–78t,1,0,0,0,0,1,True
14,76h–77t,393,0,0,0,0,0,True
15,68h–69t,240,0,0,0,0,1,True
16,5h–6t,915,0,0,0,0,1,True
17,57h–59t,4734,0,0,0,0,1,True
18,48h–49t,1,0,0,0,0,1,True
19,47h–48t,29,0,0,0,0,1,True
20,34h–37t,3387,0,0,0,0,1,True
21,283h–284t,1069,0,0,0,0,1,True
22,282h–283t,3336,0,0,0,0,1,True
23,281h–282t,5439,0,0,0,0,1,True
24,27h–28t,1347,0,0,0,0,1,True
25,277h–278t,948,0,0,0,0,1,True
26,267h–268t,1,0,0,0,0,1,True
27,258h–259t,129,0,0,0,0,1,True
28,252h–253t,1,0,0,0,0,1,True
29,250h–252t,6341,0,0,0,0,1,True
30,224h–225t,4276,0,0,0,0,1,True
31,222h–223t,1,0,0,0,0,0,True
32,221h–222t,2232,0,0,0,0,0,True
33,219h–220t,4104,0,0,0,0,0,True
34,218h–219t,1,0,0,0,0,0,True
35,216h–217t,1,0,0,0,0,0,True
36,214h–216t,4955,0,0,0,0,0,True
37,212h–213t,1,0,0,0,0,0,True
38,211h–212t,4234,0,0,0,0,1,True
39,20h–21t,62,0,0,0,0,1,True
40,207h–210t,7371,0,0,0,0,1,True
41,185h–186t,3362,0,0,0,0,1,True
42,156h–157t,1158,0,0,0,0,1,True
43,150h–151t,1,0,0,0,0,0,True
44,141h–147t,36179,0,0,0,0,0,True
45,140h–141t,1,0,0,0,0,0,True
46,139h–140t,1,0,0,0,0,0,True
47,137h–138t,1,0,0,0,0,0,True
48,134h–137t,5760,0,0,0,0,0,True
49,131h–132t,1670,0,0,0,0,0,True
50,130h–131t,4148,0,0,0,0,0,True
51,129h–130t,1,0,0,0,0,1,True
52,113h–114t,1962,0,0,0,0,1,True
53,112h–113t,415,0,0,0,0,1,True
54,109h–110t,6421,0,0,0,0,1,True
55,107h–108t,238,0,0,0,0,1,True
56,106h–107t,10,0,0,0,0,1,True
57,105h–106t,1,0,0,0,0,0,True
58,100t–98h,1457,0,0,0,0,1,True
