block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
41,0,0.0015231799999999998,1,2,0.6764705882352942,False
37,1,0.0014762499999999997,1,2,0.9411764705882353,False
129,2,0.00099555,1,2,0.058823529411764705,False
103,3,0.00099555,1,2,2.0294117647058822,False
59,4,0.0008594,1,2,0.9117647058823529,False
58,4,0.0008594,1,2,0.9117647058823529,False
57,4,0.0008594,1,2,0.9117647058823529,False
130,5,0.00071769,1,2,0.17647058823529413,False
128,6,0.00015551,1,2,0.5,False
131,5,0,0,0,0.14705882352941177,True
127,7,0,0,0,0.2647058823529412,True
126,7,0,0,0,0.2647058823529412,True
125,7,0,0,0,0.2647058823529412,True
124,7,0,0,0,0.2647058823529412,True
123,7,0,0,0,0.2647058823529412,True
122,8,0,0,0,0.4117647058823529,True
121,9,0,0,0,0.2647058823529412,True
120,10,0,0,0,1,True
119,10,0,0,0,1,True
118,10,0,0,0,1,True
117,10,0,0,0,1,True
116,10,0,0,0,1,True
115,10,0,0,0,1.0294117647058822,True
114,10,0,0,0,1.0294117647058822,True
113,10,0,0,0,1.0294117647058822,True
112,11,0,0,0,1,True
111,11,0,0,0,1,True
110,11,0,0,0,1,True
109,11,0,0,0,1,True
108,12,0,0,0,0.2647058823529412,True
107,12,0,0,0,0.2647058823529412,True
106,12,0,0,0,0.2647058823529412,True
105,11,0,0,0,1,True
104,11,0,0,0,1,True
102,11,0,0,0,1,True
101,11,0,0,0,1,True
100,11,0,0,0,1,True
99,11,0,0,0,1,True
98,11,0,0,0,1,True
97,11,0,0,0,1,True
96,13,0,0,0,0.7352941176470589,True
95,11,0,0,0,1,True
94,11,0,0,0,1,True
93,11,0,0,0,1,True
92,11,0,0,0,1,True
91,14,0,0,0,1,True
90,14,0,0,0,1,True
89,14,0,0,0,1,True
88,14,0,0,0,1,True
87,14,0,0,0,1,True
86,14,0,0,0,1,True
85,14,0,0,0,1,True
84,14,0,0,0,1,True
83,14,0,0,0,1,True
82,14,0,0,0,1,True
81,14,0,0,0,1,True
80,14,0,0,0,1,True
79,14,0,0,0,1,True
78,14,0,0,0,1,True
77,14,0,0,0,1,True
76,14,0,0,0,1,True
75,14,0,0,0,1,True
74,14,0,0,0,1,True
73,14,0,0,0,1,True
72,14,0,0,0,1,True
71,14,0,0,0,1,True
70,14,0,0,0,1,True
69,14,0,0,0,1,True
68,14,0,0,0,1,True
67,14,0,0,0,1,True
66,14,0,0,0,1,True
65,14,0,0,0,1,True
64,15,0,0,0,0.9705882352941176,True
63,15,0,0,0,0.9705882352941176,True
62,16,0,0,0,0.7647058823529411,True
61,16,0,0,0,0.7647058823529411,True
60,16,0,0,0,0.7647058823529411,True
56,15,0,0,0,0.9705882352941176,True
55,15,0,0,0,0.9705882352941176,True
54,17,0,0,0,1,True
53,17,0,0,0,1,True
52,17,0,0,0,1,True
51,17,0,0,0,1,True
50,17,0,0,0,1,True
49,17,0,0,0,1,True
48,17,0,0,0,1,True
47,17,0,0,0,1,True
46,17,0,0,0,1,True
45,17,0,0,0,1,True
44,17,0,0,0,1,True
43,17,0,0,0,1,True
42,17,0,0,0,1,True
40,17,0,0,0,1,True
39,17,0,0,0,1,True
38,17,0,0,0,1,True
36,17,0,0,0,1,True
35,18,0,0,0,1,True
34,18,0,0,0,1,True
33,18,0,0,0,1,True
32,18,0,0,0,1,True
31,18,0,0,0,1,True
30,18,0,0,0,1,True
29,18,0,0,0,1,True
28,18,0,0,0,1,True
27,18,0,0,0,1,True
26,18,0,0,0,1,True
25,18,0,0,0,1,True
24,18,0,0,0,1,True
23,18,0,0,0,1,True
22,18,0,0,0,1,True
21,18,0,0,0,1,True
20,18,0,0,0,1,True
19,18,0,0,0,1,True
18,18,0,0,0,1,True
17,18,0,0,0,1,True
16,18,0,0,0,1,True
15,10,0,0,0,1,True
14,10,0,0,0,1,True
13,10,0,0,0,1,True
12,10,0,0,0,1,True
11,10,0,0,0,1,True
10,10,0,0,0,1,True
9,10,0,0,0,1,True
8,10,0,0,0,1,True
7,10,0,0,0,1,True
6,10,0,0,0,1,True
5,10,0,0,0,1,True
4,10,0,0,0,1,True
3,10,0,0,0,1,True
2,10,0,0,0,1,True
1,10,0,0,0,1,True
