block,species,chr,chr_beg,chr_end,orientation
257,CP065432.1,1,1992954,1998038,+
257,CP015121.1,1,1917383,1922467,+
257,CP033243.1,1,2058979,2064060,+
257,CP027611.1,1,3535026,3540110,+
257,CP046898.1,1,1954757,1959841,+
257,CP026711.1,1,2629110,2634194,+
257,CP046654.1,1,3379481,3384565,-
257,CP047973.1,1,1904030,1909114,+
257,CP051862.1,1,1782741,1787825,-
257,CP059040.1,1,1917351,1922435,+
257,CP015364.1,1,269585,274666,-
257,CP045110.1,1,2077172,2082256,-
257,CP033768.1,1,1256612,1261696,-
257,CP018254.1,1,2234096,2239180,+
257,CP018332.1,1,1787048,1792132,-
257,CP021347.1,1,3467592,3472676,+
256,CP065432.1,1,1986316,1992952,+
256,CP015121.1,1,1910745,1917381,+
256,CP033243.1,1,2000082,2006722,+
256,CP027611.1,1,3528391,3535024,+
256,CP046898.1,1,1948126,1954755,+
256,CP026711.1,1,2622475,2629108,+
256,CP046654.1,1,3384566,3391203,-
256,CP047973.1,1,1897387,1904028,+
256,CP051862.1,1,1787826,1794466,-
256,CP059040.1,1,1910713,1917349,+
256,CP015364.1,1,326924,333564,-
256,CP045110.1,1,2082257,2088894,-
256,CP033768.1,1,1261697,1268337,-
256,CP018254.1,1,2227461,2234094,+
256,CP018332.1,1,1792133,1798775,-
256,CP021347.1,1,3460951,3467590,+
255,CP065432.1,1,1983376,1985924,+
255,CP015121.1,1,1907805,1910353,+
255,CP033243.1,1,1997144,1999691,+
255,CP027611.1,1,3525453,3528000,+
255,CP046898.1,1,1945188,1947735,+
255,CP026711.1,1,2619537,2622084,+
255,CP046654.1,1,3391595,3394143,-
255,CP047973.1,1,1894446,1896994,+
255,CP051862.1,1,1794618,1797161,-
255,CP059040.1,1,1907773,1910321,+
255,CP015364.1,1,333955,336502,-
255,CP045110.1,1,2089286,2091834,-
255,CP033768.1,1,1268728,1271276,-
255,CP018254.1,1,2224523,2227070,+
255,CP018332.1,1,1799168,1801716,-
255,CP021347.1,1,3458256,3460799,+
254,CP065432.1,1,1978072,1982648,+
254,CP015121.1,1,1902501,1907077,+
254,CP033243.1,1,1991840,1996416,+
254,CP027611.1,1,3520149,3524725,+
254,CP046898.1,1,1939884,1944460,+
254,CP026711.1,1,2614233,2618809,+
254,CP046654.1,1,3394870,3399447,-
254,CP047973.1,1,1889142,1893718,+
254,CP051862.1,1,1797888,1802465,-
254,CP059040.1,1,1902469,1907045,+
254,CP015364.1,1,337229,341806,-
254,CP045110.1,1,2092561,2097138,-
254,CP033768.1,1,1272003,1276579,-
254,CP018254.1,1,2219219,2223795,+
254,CP018332.1,1,1802443,1807020,-
254,CP021347.1,1,3452952,3457528,+
252,CP065432.1,1,1968340,1974581,+
252,CP015121.1,1,1892770,1899010,+
252,CP033243.1,1,1980852,1987095,+
252,CP027611.1,1,3510207,3516452,+
252,CP046898.1,1,1932842,1939085,+
252,CP026711.1,1,2604291,2610536,+
252,CP046654.1,1,3402938,3409178,-
252,CP047973.1,1,1879203,1885444,+
252,CP051862.1,1,1805956,1812199,-
252,CP059040.1,1,1892738,1898978,+
252,CP015364.1,1,346551,352794,-
252,CP045110.1,1,2100629,2106869,-
252,CP033768.1,1,1277376,1283622,-
252,CP018254.1,1,2209277,2215522,+
252,CP018332.1,1,1810718,1816959,-
252,CP021347.1,1,3443222,3449461,+
251,CP065432.1,1,1962866,1968338,+
251,CP015121.1,1,1887296,1892768,+
251,CP033243.1,1,1975379,1980850,+
251,CP027611.1,1,3504734,3510205,+
251,CP046898.1,1,1927372,1932840,+
251,CP026711.1,1,2598818,2604289,+
251,CP046654.1,1,3409179,3414652,-
251,CP047973.1,1,1873723,1879201,+
251,CP051862.1,1,1812200,1817675,-
251,CP059040.1,1,1887264,1892736,+
251,CP015364.1,1,352795,358267,-
251,CP045110.1,1,2106870,2112343,-
251,CP033768.1,1,1283623,1289097,-
251,CP018254.1,1,2203804,2209275,+
251,CP018332.1,1,1816961,1822439,-
251,CP021347.1,1,3436401,3441888,+
250,CP065432.1,1,1954386,1962847,+
250,CP015121.1,1,1878816,1887277,+
250,CP033243.1,1,1966915,1975361,+
250,CP027611.1,1,3496270,3504716,+
250,CP046898.1,1,1918911,1927354,+
250,CP026711.1,1,2590354,2598800,+
250,CP046654.1,1,3414671,3423132,-
250,CP047973.1,1,1865264,1873705,+
250,CP051862.1,1,1818741,1827180,-
250,CP059040.1,1,1878784,1887245,+
250,CP015364.1,1,358285,366731,-
250,CP045110.1,1,2112362,2120823,-
250,CP033768.1,1,1289115,1297558,-
250,CP018254.1,1,2195341,2203786,+
250,CP018332.1,1,1822457,1830898,-
250,CP021347.1,1,3426895,3435335,+
249,CP065432.1,1,1951874,1954384,+
249,CP015121.1,1,1876304,1878814,+
249,CP033243.1,1,1964412,1966913,+
249,CP027611.1,1,3493767,3496268,+
249,CP046898.1,1,1916399,1918909,+
249,CP026711.1,1,2587851,2590352,+
249,CP046654.1,1,3423133,3425644,-
249,CP047973.1,1,1862761,1865262,+
249,CP051862.1,1,1828208,1830747,-
249,CP059040.1,1,1876272,1878782,+
249,CP015364.1,1,366732,369234,-
249,CP045110.1,1,2120824,2123335,-
249,CP033768.1,1,1297559,1300061,-
249,CP018254.1,1,2192838,2195339,+
249,CP018332.1,1,1830899,1833401,-
249,CP021347.1,1,3423329,3425867,+
248,CP065432.1,1,1944322,1951793,+
248,CP015121.1,1,1868752,1876223,+
248,CP033243.1,1,1956858,1964331,+
248,CP027611.1,1,3477648,3485119,+
248,CP046898.1,1,1908849,1916318,+
