block,species,chr,chr_beg,chr_end,orientation
166,CP020828.1,1,1494331,1526734,+
166,CP038642.1,1,521680,554086,-
166,CP019617.1,1,1436521,1468926,+
166,CP020833.1,1,1479051,1511458,+
166,CP032669.1,1,1473117,1505524,+
166,CP006594.1,1,1227498,1259906,-
166,CP006597.1,1,291668,324076,+
166,CP030808.1,1,1226571,1258979,+
166,CP028183.1,1,1502265,1534671,+
166,HG813249.1,1,2057127,2089533,+
166,CP046361.1,1,1442358,1474765,+
166,CP002001.1,1,1442760,1475165,+
166,CP020831.1,1,1437456,1469861,+
166,CP021174.1,1,1465919,1498327,+
166,CP030834.1,1,1391864,1424272,+
166,FM211688.1,1,1459629,1492020,+
166,CP046362.1,1,1442359,1474766,+
166,CP048401.1,1,1453716,1486107,+
166,CP041213.1,1,1469833,1502241,+
166,CP013722.1,1,77372,109778,-
166,CP030810.1,1,1254114,1286522,+
166,CP009242.1,1,1397747,1430139,+
166,FR733646.1,1,1426281,1458690,+
166,CP045969.1,1,1464478,1496886,+
166,CP030809.1,1,1356816,1389224,+
166,FR720325.1,1,1460504,1492913,+
166,CP006591.1,1,937432,969839,+
166,CP020827.1,1,1467286,1499694,+
166,CM003382.1,1,1439132,1471537,+
166,CP033737.1,1,1470238,1502644,-
166,CP032671.1,1,1500935,1533343,+
166,LT985476.1,1,1442346,1474753,+
166,CP045970.1,1,1481173,1513578,+
166,CP002004.1,1,1422487,1454895,+
166,CP002816.1,1,1457588,1489979,+
166,CP025560.1,1,1495348,1527756,+
166,CP027029.1,1,1239846,1272254,+
166,CP019623.1,1,1486693,1519006,+
165,CP020828.1,1,1475848,1494179,+
165,CP038642.1,1,554238,572366,-
165,CP019617.1,1,1418030,1436369,+
165,CP020833.1,1,1457501,1475832,+
165,CP032669.1,1,1454627,1472965,+
165,CP006594.1,1,1260039,1278376,-
165,CP006597.1,1,273197,291535,+
165,CP030808.1,1,1208102,1226438,+
165,CP028183.1,1,1483782,1502113,+
165,HG813249.1,1,2038644,2056975,+
165,CP046361.1,1,1423876,1442206,+
165,CP002001.1,1,1424269,1442608,+
165,CP020831.1,1,1418973,1437304,+
165,CP021174.1,1,1447431,1465767,+
165,CP030834.1,1,1373393,1391731,+
165,FM211688.1,1,1440522,1458874,+
165,CP046362.1,1,1423877,1442207,+
165,CP048401.1,1,1434609,1452961,+
165,CP041213.1,1,1451362,1469700,+
165,CP013722.1,1,109931,128260,-
165,CP030810.1,1,1235643,1253981,+
165,CP009242.1,1,1358541,1376892,+
165,FR733646.1,1,1407810,1426148,+
165,CP045969.1,1,1445990,1464326,+
165,CP030809.1,1,1338345,1356683,+
165,FR720325.1,1,1442033,1460371,+
165,CP006591.1,1,918944,937280,+
165,CP020827.1,1,1448798,1467134,+
165,CM003382.1,1,1420648,1438979,+
165,CP033737.1,1,1502796,1521126,-
165,CP032671.1,1,1459000,1477338,+
165,LT985476.1,1,1423864,1442194,+
165,CP045970.1,1,1462690,1481021,+
165,CP002004.1,1,1403999,1422335,+
165,CP002816.1,1,1438481,1456833,+
165,CP025560.1,1,1476859,1495196,+
165,CP027029.1,1,1221358,1239694,+
165,CP019623.1,1,1468210,1486541,+
164,CP020828.1,1,1463517,1475847,+
164,CP038642.1,1,572368,584699,-
164,CP019617.1,1,1405697,1418029,+
164,CP020833.1,1,1445169,1457500,+
164,CP032669.1,1,1442295,1454626,+
164,CP006594.1,1,1278378,1290708,-
164,CP006597.1,1,260866,273196,+
164,CP030808.1,1,1195771,1208101,+
164,CP028183.1,1,1471450,1483781,+
164,HG813249.1,1,2026312,2038643,+
164,CP046361.1,1,1411544,1423875,+
164,CP002001.1,1,1411936,1424268,+
164,CP020831.1,1,1406641,1418972,+
164,CP021174.1,1,1435099,1447430,+
164,CP030834.1,1,1361062,1373392,+
164,FM211688.1,1,1427486,1439799,+
164,CP046362.1,1,1411545,1423876,+
164,CP048401.1,1,1421573,1433886,+
164,CP041213.1,1,1439031,1451361,+
164,CP013722.1,1,128262,140593,-
164,CP030810.1,1,1223312,1235642,+
164,CP009242.1,1,1345505,1357818,+
164,FR733646.1,1,1395479,1407809,+
164,CP045969.1,1,1433658,1445989,+
164,CP030809.1,1,1326014,1338344,+
164,FR720325.1,1,1429702,1442032,+
164,CP006591.1,1,906612,918943,+
164,CP020827.1,1,1436466,1448797,+
164,CM003382.1,1,1408316,1420647,+
164,CP033737.1,1,1521128,1533459,-
164,CP032671.1,1,1446669,1458999,+
164,LT985476.1,1,1411532,1423863,+
164,CP045970.1,1,1450358,1462689,+
164,CP002004.1,1,1391667,1403998,+
164,CP002816.1,1,1425445,1437758,+
164,CP025560.1,1,1464528,1476858,+
164,CP027029.1,1,1209026,1221357,+
164,CP019623.1,1,1455878,1468209,+
163,CP020828.1,1,1457005,1463402,+
163,CP038642.1,1,584814,591210,-
163,CP019617.1,1,1399185,1405582,+
163,CP020833.1,1,1438657,1445054,+
163,CP032669.1,1,1435783,1442180,+
163,CP006594.1,1,1290824,1297217,-
163,CP006597.1,1,254357,260750,+
163,CP030808.1,1,1189263,1195655,+
163,CP028183.1,1,1464938,1471335,+
163,HG813249.1,1,2019800,2026197,+
163,CP046361.1,1,1405032,1411429,+
163,CP002001.1,1,1405424,1411821,+
163,CP020831.1,1,1400130,1406526,+
163,CP021174.1,1,1428587,1434984,+
163,CP030834.1,1,1354553,1360946,+
163,FM211688.1,1,1420976,1427371,+
163,CP046362.1,1,1405033,1411430,+
163,CP048401.1,1,1415063,1421458,+
163,CP041213.1,1,1432522,1438915,+
163,CP013722.1,1,140708,147105,-
163,CP030810.1,1,1216803,1223196,+
163,CP009242.1,1,1338995,1345390,+
163,FR733646.1,1,1388970,1395363,+
163,CP045969.1,1,1427146,1433543,+
163,CP030809.1,1,1319505,1325898,+
163,FR720325.1,1,1423193,1429586,+
163,CP006591.1,1,900100,906497,+
163,CP020827.1,1,1429954,1436351,+
163,CM003382.1,1,1401804,1408201,+
163,CP033737.1,1,1533574,1539971,-
163,CP032671.1,1,1440160,1446553,+
163,LT985476.1,1,1405020,1411417,+
163,CP045970.1,1,1443846,1450243,+
