block,species,chr,chr_beg,chr_end,orientation
431,AL157959,1,181825,186732,+
431,CP007524,1,185463,190370,+
431,FR774048,1,2168289,2173196,-
430,CP002422,1,2237591,2238688,+
430,CP020401,1,446769,447866,+
430,CP012392,1,2119553,2120650,+
429,CP002422,1,1422470,1424662,+
429,CP020401,1,2197256,2199448,+
429,CP012392,1,1645053,1647246,-
428,CP002422,1,541867,544723,+
428,CP020401,1,1233509,1236365,+
427,CP012694,1,1556564,1558504,+
427,AL157959,1,115215,117156,+
427,CP007524,1,118845,120786,+
427,FR774048,1,2108737,2110678,+
426,CP012694,1,1483962,1485287,+
426,CP007524,1,46319,47628,+
426,FR774048,1,2036788,2038097,+
425,CP012694,1,1050274,1060995,+
425,AL157959,1,1797070,1807792,+
425,CP007524,1,1800750,1811471,+
425,FR774048,1,1564499,1575221,+
424,CP012694,1,1046486,1048064,+
424,AL157959,1,1793282,1794860,+
424,CP007524,1,1796962,1798540,+
424,FR774048,1,1560711,1562289,+
423,CP012694,1,1034283,1045771,+
423,AL157959,1,1781079,1792567,+
423,CP007524,1,1784759,1796247,+
423,FR774048,1,1548508,1559996,+
422,CP012694,1,1020565,1033202,+
422,AL157959,1,1768444,1781077,+
422,CP007524,1,1772124,1784757,+
422,FR774048,1,1535873,1548506,+
421,CP012694,1,701826,702919,+
421,CP007524,1,1454229,1455322,+
420,CP012694,1,408284,409697,+
420,AL157959,1,1153458,1154871,+
420,CP007524,1,1161175,1162588,+
420,FR774048,1,923563,924976,+
419,CP012694,1,363304,365421,+
419,CP007524,1,1116348,1118465,+
419,FR774048,1,878309,880426,+
418,CP012694,1,15616,23885,+
418,AL157959,1,761319,769589,+
418,CP007524,1,769084,777353,+
418,FR774048,1,532546,540816,+
417,FM999788,1,1844497,1846636,+
417,CP012694,1,2114199,2116338,-
417,CP002422,1,556182,558321,-
417,CP020401,1,1247824,1249963,-
417,AL157959,1,674468,676607,-
417,CP007524,1,676550,678689,-
417,FR774048,1,440021,442160,-
417,CP012392,1,1743502,1745641,+
416,FM999788,1,552296,553616,+
416,CP012694,1,2117811,2119131,+
416,AL157959,1,678080,679400,+
416,CP007524,1,680162,681482,+
416,FR774048,1,443633,444953,+
416,CP012392,1,1740708,1742029,-
415,CP000381,1,1938221,1940026,+
415,CP012694,1,1435414,1437219,+
415,AL157959,1,2182600,2184406,+
415,CP007524,1,2186214,2188020,+
415,FR774048,1,1990130,1991935,+
414,CP000381,1,1376870,1379851,+
414,CP012694,1,839868,842847,+
414,AL157959,1,1579966,1582945,+
414,CP007524,1,1591952,1594931,+
414,FR774048,1,1356126,1359105,+
414,CP012392,1,820033,823012,-
413,CP000381,1,780604,782443,+
413,CP020401,1,1562445,1564284,+
412,CP000381,1,617207,618290,+
412,CP002422,1,537994,539077,-
412,CP002422,1,540823,541866,-
412,CP020401,1,1229636,1230719,-
412,CP020401,1,1232465,1233508,-
411,CP000381,1,615447,617125,+
411,CP002422,1,539158,540821,-
411,CP020401,1,1230800,1232463,-
410,CP000381,1,370482,371682,+
410,CP012694,1,2018581,2019781,+
410,AL157959,1,577726,578926,+
410,CP007524,1,581084,582284,+
410,FR774048,1,344203,345403,+
409,CP000381,1,331267,333446,+
409,FM999788,1,1999577,2001735,-
409,CP012694,1,1978553,1980725,+
409,AL157959,1,537590,539762,+
409,CP007524,1,541550,543722,+
409,FR774048,1,304176,306348,+
408,CP000381,1,155390,158477,+
408,AL157959,1,1737167,1740261,-
407,CP000381,1,153508,154725,+
407,AL157959,1,1740926,1742116,-
406,CP000381,1,149769,152640,+
406,AL157959,1,1742343,1745238,-
405,CP000381,1,70901,74084,+
405,FM999788,1,72276,75459,+
405,CP020401,1,573258,576441,+
404,CP020402,1,2292261,2293578,+
404,CP020422,1,421833,423150,+
403,CP020402,1,2252918,2253982,+
403,FM999788,1,524972,526037,-
403,CP020422,1,382490,383554,+
402,CP020402,1,2249671,2251786,+
402,FM999788,1,527168,529284,-
402,CP020422,1,379243,381358,+
401,CP020402,1,2246291,2248894,+
401,FM999788,1,530060,532664,-
401,CP020422,1,375863,378466,+
400,CP020402,1,2240143,2244185,+
400,FM999788,1,534770,538812,-
400,CP020422,1,369715,373757,+
400,CP002422,1,530380,534422,-
400,CP002422,1,544725,548767,-
400,CP020401,1,1222022,1226064,-
400,CP020401,1,1236367,1240409,-
399,CP020402,1,2236064,2239493,+
399,FM999788,1,540686,544114,-
399,CP020422,1,365636,369065,+
399,CP002422,1,549417,552845,-
399,CP020401,1,1241059,1244487,-
398,CP020402,1,2227415,2228701,+
398,CP000381,1,471213,472500,-
398,FM999788,1,1841475,1842761,+
398,CP012694,1,2124765,2126052,-
398,CP020422,1,356987,358273,+
398,CP002422,1,560056,561343,-
398,CP020401,1,1251698,1252985,-
398,CP007524,1,687116,688403,-
398,FR774048,1,450588,451875,-
397,CP020402,1,2226079,2227331,+
397,CP020402,1,2228703,2229946,+
397,CP000381,1,469969,471212,-
397,FM999788,1,1840148,1841391,+
397,FM999788,1,1842763,1844006,+
397,CP012694,1,2123521,2124764,-
397,CP020422,1,355651,356903,+
397,CP020422,1,358275,359518,+
397,CP002422,1,558812,560055,-
397,CP002422,1,561427,562670,-
397,CP020401,1,1250454,1251697,-
397,CP020401,1,1253069,1254312,-
397,CP007524,1,685872,687115,-
397,FR774048,1,449344,450587,-
397,CP012392,1,1735075,1736318,+
396,CP020402,1,1904601,1905670,+
