Genome,Length
CP010058.1,1712342
CP012206.1,1727122
CP012210.1,1652563
CP007192.1,1675311
CP007193.1,1644428
CP014742.1,1681882
CP014744.1,1672793
CP012214.1,1605714
CP012220.1,1567220
CP000814.1,1628090
CP000025.1,1777812
CM000854.1,1702724
CP006687.1,1641452
CP006688.1,1641450
CP006709.2,1719513
CP006851.1,1691920
CP007188.1,1821501
CP007189.1,1629459
CP053659.1,1685628
CP007191.1,1669945
CP012217.1,1747514
LR134502.1,1634006
CP012221.1,1793660
CP017860.1,1762540
CP019965.1,1612567
CP019838.1,1782913
CP012696.1,1635784
CP028912.1,1634212
CP020776.1,1774565
CP000768.1,1845086
LR134497.1,1801372
CP012211.1,1634294
CP006006.1,1702398
LS483295.1,1728849
CP022080.1,1620455
CP023867.1,1690356
CP017029.1,1709178
CP006685.1,1641462
CP022470.1,1659675
CP022440.1,1620284
CP007751.1,1677193
CP012213.1,1614009
CP012216.1,1692966
CP020045.1,1618175
CP022439.1,1645632
LR134359.1,1891235
HE978252.1,1641462
CP023446.1,1766174
CP017862.1,1694324
CP017031.1,1652695
CP017229.1,1629685
CP010307.1,1670762
CP012689.1,1664546
CP028911.1,1614377
CP008787.1,1651720
CP022079.1,1649384
CP022077.1,1641389
CP015209.1,1675093
CM000855.1,1710025
CP017863.1,1744164
CP027403.1,1845051
CP023866.1,1777767
CP028372.1,1683478
LR134530.1,1762206
CP023543.1,1727760
CP007190.1,1629460
CP028910.1,1684023
CP001876.1,1635026
CP001960.1,1681345
CP022076.1,1768113
CP006689.1,1641463
CP045789.1,1759194
CP023343.1,1558306
CP012149.1,1616642
HG428754.1,1669310
CP014344.1,1651158
LS483362.1,1641445
CP012224.1,1658440
CP047478.1,1650107
LR134507.1,1634542
CP034393.1,1754303
AL111168.1,1641462
CP017456.1,1666761
CP047484.1,1635683
LR134511.1,1641283
CP001900.1,1616628
CP047480.1,1721096
CP012690.1,1664547
CP005388.1,1636010
CP047477.1,1720216
LN831025.1,1766423
CP022559.1,1648483
CP006686.1,1641461
CP045048.1,1806780
CP041584.1,1743966
CP002029.1,1664821
CP003871.4,1635282
