block,species,chr,chr_beg,chr_end,orientation
112,CP016647,1,2160623,2177666,+
112,CP016646,1,994211,1011254,+
112,CP016654,1,593266,610309,+
112,CP020402,1,903574,922253,-
112,CP000381,1,447051,463848,+
112,CP016680,1,1170865,1187869,-
112,CP016672,1,2043400,2060443,-
112,CP016883,1,415373,432415,+
112,CP016682,1,2144661,2161959,-
112,FM999788,1,1849972,1867469,-
112,CP012694,1,2093152,2110861,+
112,CP020422,1,1338963,1357642,-
112,CP002422,1,1851608,1870290,+
112,CP020401,1,1101918,1119182,-
112,AL157959,1,652928,671130,+
112,CP007524,1,655783,673213,+
112,FR774048,1,419134,436683,+
112,CP016660,1,1270181,1287224,-
112,CP012392,1,1748978,1766016,-
111,CP016647,1,2146750,2158455,+
111,CP016646,1,980339,992043,+
111,CP016654,1,579394,591098,+
111,CP020402,1,881678,893366,+
111,CP000381,1,434280,445994,+
111,CP016680,1,1190038,1201742,-
111,CP016672,1,2062612,2074316,-
111,CP016883,1,401503,413205,+
111,CP016682,1,2164128,2175832,-
111,FM999788,1,1878339,1890044,-
111,CP012694,1,2080566,2092280,+
111,CP020422,1,1317067,1328755,+
111,CP002422,1,1880368,1892082,-
111,CP020401,1,1080152,1091841,+
111,AL157959,1,640342,652056,+
111,CP007524,1,643197,654911,+
111,FR774048,1,406548,418262,+
111,CP016660,1,1289393,1301097,-
111,CP012392,1,1766889,1778603,-
110,CP016647,1,2133546,2146748,+
110,CP016646,1,967335,980337,+
110,CP016654,1,566190,579392,+
110,CP020402,1,868621,881676,+
110,CP000381,1,421376,434278,+
110,CP016680,1,1201743,1214946,-
110,CP016672,1,2074317,2087520,-
110,CP016883,1,388299,401501,+
110,CP016682,1,1,13204,-
110,FM999788,1,1890045,1903383,-
110,CP012694,1,2068233,2080564,+
110,CP020422,1,1304010,1317065,+
110,CP002422,1,1892083,1904139,-
110,CP020401,1,1067196,1080150,+
110,AL157959,1,627976,640340,+
110,CP007524,1,631064,643195,+
110,FR774048,1,394167,406546,+
110,CP016660,1,1301098,1314301,-
110,CP012392,1,1778604,1791076,-
109,CP016647,1,2117053,2132250,+
109,CP016646,1,950842,966039,+
109,CP016654,1,549697,564894,+
109,CP020402,1,848601,864008,+
109,CP000381,1,401357,416762,+
109,CP016680,1,1216242,1231439,-
109,CP016672,1,2088816,2104013,-
109,CP016883,1,371808,387003,+
109,CP016682,1,14500,29697,-
109,FM999788,1,1905922,1921697,-
109,CP012694,1,2049753,2064861,+
