strain,character_state,character_state_annotation
CP020401,0,adjacency exists
CP012392,0,adjacency exists
CP016680,3,inversion with 114t-84t
CP016660,3,inversion with 114t-84t
FM999788,0,adjacency exists
CP012694,0,adjacency exists
CP016672,3,inversion with 114t-84t
CP020402,0,adjacency exists
CP020422,0,adjacency exists
CP016883,3,inversion with 114t-84t
CP016654,3,inversion with 114t-84t
FR774048,0,adjacency exists
CP016682,3,inversion with 114t-84t
CP016646,3,inversion with 114t-84t
CP000381,0,adjacency exists
CP002422,0,adjacency exists
CP016647,3,inversion with 114t-84t
AL157959,0,adjacency exists
CP007524,0,adjacency exists
