strain,character_state,character_state_annotation
CP017523.1,3,inversion with 239h-240t
CP017519.1,0,adjacency exists
CP017504.1,3,inversion with 239h-240t
CP017539.1,0,adjacency exists
CP023047.1,0,adjacency exists
CP017531.1,3,inversion with 239h-240t
CP006574.1,3,inversion with 239h-240t
CP017548.1,3,inversion with 239h-240t
CP017537.1,0,adjacency exists
CP017533.1,0,adjacency exists
CP023043.1,3,inversion with 239h-240t
CP017551.1,0,adjacency exists
CP017505.1,3,inversion with 239h-240t
CP023046.1,0,adjacency exists
CP017535.1,0,adjacency exists
CP017530.1,0,adjacency exists
CP017501.1,0,adjacency exists
CP026858.1,3,inversion with 239h-240t
CP006957.2,0,adjacency exists
CP004753.2,0,adjacency exists
CP005383.1,3,inversion with 239h-240t
CP017532.1,3,inversion with 239h-240t
CP017506.1,0,adjacency exists
CP005972.1,3,inversion with 239h-240t
CP017543.1,0,adjacency exists
CP017528.1,3,inversion with 239h-240t
CP006619.1,0,adjacency exists
CP017534.1,0,adjacency exists
CP026857.1,3,inversion with 239h-240t
CP017520.1,3,inversion with 239h-240t
CP023044.1,0,adjacency exists
CP017536.1,0,adjacency exists
CP011098.1,3,inversion with 239h-240t
CP017550.1,3,inversion with 239h-240t
CP011099.1,0,adjacency exists
CP017491.1,0,adjacency exists
CP017549.1,0,adjacency exists
CP017538.1,3,inversion with 239h-240t
CP017524.1,3,inversion with 239h-240t
CP017540.1,0,adjacency exists
CP004752.2,3,inversion with 239h-240t
CP017544.1,3,inversion with 239h-240t
CP006573.1,0,adjacency exists
