Genome,Length
CP020828.1,2953909
CP038642.1,2986603
CP019617.1,2989685
CP020833.1,2976328
CP032669.1,2935335
CP006594.1,3034043
CP006597.1,3094342
CP030808.1,2978357
CP028183.1,3062723
HG813249.1,3010591
CP046361.1,2897260
CP002001.1,3000464
CP020831.1,2912188
CP021174.1,2965837
CP030834.1,3064097
FM211688.1,2979198
CP046362.1,2896666
CP048401.1,2973613
CP041213.1,3034005
CP013722.1,2927751
CP030810.1,3061639
CP009242.1,2918502
FR733646.1,2966146
CP045969.1,2964526
CP030809.1,3006752
FR720325.1,2936689
CP006591.1,2988947
CP020827.1,2966591
CM003382.1,2931404
CP033737.1,2852069
CP032671.1,3019461
LT985476.1,2935970
CP045970.1,3005014
CP002004.1,2874431
CP002816.1,2976163
CP025560.1,3015219
CP027029.1,3101214
CP019623.1,2940913
