strain,character_state,character_state_annotation
CP003497,0,adjacency exists
CP035497,0,adjacency exists
CP031154,0,adjacency exists
CP047190,0,adjacency exists
CP022724,0,adjacency exists
CP001892,0,adjacency exists
CP007755,0,adjacency exists
CP003498,0,adjacency exists
CP031703,0,adjacency exists
CP001515,0,adjacency exists
CP009045,0,adjacency exists
CP010433,0,adjacency exists
CP002915,0,adjacency exists
CP001606,0,adjacency exists
CP004053,0,adjacency exists
CP001213,2,some block is not presented
CP007522,0,adjacency exists
CP003039,0,adjacency exists
CP017098,0,adjacency exists
CP001853,0,adjacency exists
CP042940,0,adjacency exists
LR699002,0,adjacency exists
