strain,character_state,character_state_annotation
CP027403.1,0,0 copies
CP045789.1,0,0 copies
CP007189.1,0,0 copies
CP014344.1,0,0 copies
CP012149.1,0,0 copies
CP001900.1,0,0 copies
CP017031.1,0,0 copies
CP012216.1,0,0 copies
CP000025.1,0,0 copies
CP006687.1,0,0 copies
LR134530.1,0,0 copies
CP017229.1,0,0 copies
CM000854.1,0,0 copies
CP006688.1,0,0 copies
AL111168.1,0,0 copies
CP001876.1,0,0 copies
LN831025.1,0,0 copies
CP020776.1,1,1 copies
CP014742.1,0,0 copies
LS483295.1,0,0 copies
CP012690.1,0,0 copies
CP012211.1,0,0 copies
LR134511.1,0,0 copies
CP023866.1,0,0 copies
CP003871.4,0,0 copies
CP017456.1,1,1 copies
LR134497.1,1,1 copies
CP010307.1,0,0 copies
CP012689.1,0,0 copies
CP028372.1,0,0 copies
CP001960.1,0,0 copies
CP015209.1,0,0 copies
CP017029.1,0,0 copies
CP022080.1,0,0 copies
CP023543.1,0,0 copies
CP047478.1,0,0 copies
CP012696.1,0,0 copies
CP023867.1,0,0 copies
CP000814.1,0,0 copies
LR134502.1,0,0 copies
CP022440.1,0,0 copies
HE978252.1,0,0 copies
CP028911.1,0,0 copies
CP022076.1,0,0 copies
CP006006.1,0,0 copies
CP034393.1,0,0 copies
CP047477.1,0,0 copies
CP012224.1,0,0 copies
CP012220.1,0,0 copies
LS483362.1,0,0 copies
CP022079.1,0,0 copies
CP023343.1,0,0 copies
CP022559.1,0,0 copies
CP007193.1,0,0 copies
CP022439.1,0,0 copies
CP022470.1,0,0 copies
CP000768.1,0,0 copies
CP028910.1,0,0 copies
CP007188.1,0,0 copies
CP023446.1,0,0 copies
CM000855.1,0,0 copies
CP012206.1,0,0 copies
CP017863.1,0,0 copies
CP006689.1,0,0 copies
CP002029.1,0,0 copies
CP022077.1,0,0 copies
CP019838.1,0,0 copies
CP047484.1,0,0 copies
CP012213.1,0,0 copies
CP012210.1,0,0 copies
CP005388.1,0,0 copies
CP010058.1,0,0 copies
CP006685.1,0,0 copies
CP006851.1,0,0 copies
LR134507.1,0,0 copies
CP020045.1,0,0 copies
CP028912.1,0,0 copies
CP014744.1,0,0 copies
LR134359.1,0,0 copies
CP012217.1,0,0 copies
CP017860.1,0,0 copies
CP007190.1,0,0 copies
HG428754.1,0,0 copies
CP006709.2,1,1 copies
CP008787.1,0,0 copies
CP041584.1,0,0 copies
CP007191.1,0,0 copies
CP053659.1,0,0 copies
CP006686.1,0,0 copies
CP045048.1,0,0 copies
CP019965.1,0,0 copies
CP017862.1,0,0 copies
CP047480.1,0,0 copies
CP007192.1,0,0 copies
CP012221.1,0,0 copies
CP012214.1,0,0 copies
CP007751.1,0,0 copies
