block,species,chr,chr_beg,chr_end,orientation
20,CP003497,1,1876692,1938566,+
20,CP003039,1,1876555,1938421,+
20,CP007522,1,1884874,1946749,+
20,CP003498,1,1876915,1938793,+
20,CP001515,1,1876805,1938680,+
20,CP009045,1,1876587,1938462,+
20,CP007755,1,1869154,1931028,+
20,CP031154,1,1873386,1935261,+
20,CP010433,1,1896747,1958622,+
20,CP017098,1,1882450,1944323,+
20,LR699002,1,1896747,1958622,+
20,CP001892,1,1882147,1944021,+
20,CP022724,1,440232,502106,+
20,CP035497,1,1869728,1931603,+
20,CP042940,1,1822049,1883924,+
20,CP001213,1,1871805,1933695,+
20,CP004053,1,1876570,1938444,+
20,CP031703,1,228265,290139,-
20,CP047190,1,1875293,1937168,+
20,CP001853,1,573825,635619,+
20,CP001606,1,1876579,1938454,+
20,CP002915,1,1881293,1943113,+
19,CP003497,1,1780430,1854741,+
19,CP003039,1,1780241,1854645,+
19,CP007522,1,1788621,1863024,+
19,CP003498,1,1780650,1854962,+
19,CP001515,1,1780540,1854852,+
19,CP009045,1,1780229,1854633,+
19,CP007755,1,1772800,1847204,+
19,CP031154,1,1785738,1860142,+
19,CP010433,1,1785885,1860289,+
19,CP017098,1,1786092,1860496,+
19,LR699002,1,1785885,1860289,+
19,CP001892,1,1785881,1860193,+
19,CP022724,1,343880,418282,+
19,CP035497,1,1785883,1860287,+
19,CP042940,1,1725692,1800096,+
19,CP001213,1,1094399,1168711,+
19,CP004053,1,1780217,1854620,+
19,CP031703,1,312123,386497,-
19,CP047190,1,1787645,1862049,+
19,CP001853,1,477554,551895,+
19,CP001606,1,1780312,1854624,+
19,CP002915,1,1785081,1859347,+
18,CP003497,1,1771757,1777093,+
18,CP003039,1,1771568,1776904,+
18,CP007522,1,1779948,1785284,+
18,CP003498,1,1771977,1777313,+
18,CP001515,1,1771867,1777203,+
18,CP009045,1,1771556,1776892,+
18,CP007755,1,1764112,1769463,+
18,CP031154,1,1777065,1782401,+
18,CP010433,1,1777212,1782548,+
18,CP017098,1,1777419,1782755,+
18,LR699002,1,1777212,1782548,+
18,CP001892,1,1777208,1782544,+
18,CP022724,1,335207,340543,+
18,CP035497,1,1777210,1782546,+
18,CP042940,1,1717019,1722355,+
18,CP001213,1,1085727,1091063,+
18,CP004053,1,1771544,1776880,+
18,CP031703,1,389834,395170,-
18,CP047190,1,1778972,1784308,+
18,CP001853,1,468881,474217,+
18,CP001606,1,1771639,1776975,+
18,CP002915,1,1776408,1781744,+
17,CP003497,1,1660329,1765898,+
17,CP003039,1,1660138,1765709,+
17,CP007522,1,1659955,1765525,+
17,CP003498,1,1660548,1766118,+
17,CP001515,1,1660492,1766008,+
17,CP009045,1,1660127,1765697,+
17,CP007755,1,1655123,1760693,+
17,CP031154,1,1665637,1771207,+
17,CP010433,1,1665784,1771354,+
17,CP017098,1,1665992,1771561,+
17,LR699002,1,1665784,1771354,+
17,CP001892,1,1665779,1771349,+
17,CP022724,1,223782,329350,+
17,CP035497,1,1665781,1771352,+
17,CP042940,1,1605591,1711161,+
17,CP001213,1,791419,896597,+
17,CP004053,1,1660118,1765689,+
17,CP031703,1,401027,506597,-
17,CP047190,1,1667544,1773114,+
17,CP001853,1,357698,463033,+
17,CP001606,1,1660210,1765780,+
17,CP002915,1,1665113,1770549,+
6,CP003497,1,270367,281022,+
6,CP003039,1,270234,280889,+
6,CP007522,1,270238,280893,+
6,CP003498,1,270368,281023,+
6,CP001515,1,270368,281023,+
6,CP009045,1,270197,280852,+
6,CP007755,1,270748,281403,+
6,CP031154,1,270236,280891,+
6,CP010433,1,270368,281023,+
6,CP017098,1,270423,281078,+
6,LR699002,1,270368,281023,+
6,CP001892,1,270368,281023,+
6,CP022724,1,772494,783149,+
6,CP035497,1,270368,281023,+
6,CP042940,1,210176,220831,+
6,CP001213,1,270559,281214,+
6,CP004053,1,270229,280884,+
6,CP031703,1,1891353,1902008,-
6,CP047190,1,270369,281024,+
6,CP001853,1,905949,916604,+
6,CP001606,1,270369,281024,+
6,CP002915,1,270378,281033,+
5,CP003497,1,228227,267413,+
5,CP003039,1,228094,267280,+
5,CP007522,1,228097,267284,+
5,CP003498,1,228228,267414,+
5,CP001515,1,228228,267414,+
5,CP009045,1,228095,267243,+
5,CP007755,1,228608,267794,+
5,CP031154,1,228096,267282,+
5,CP010433,1,228228,267414,+
5,CP017098,1,228283,267469,+
5,LR699002,1,228228,267414,+
5,CP001892,1,228228,267414,+
5,CP022724,1,730356,769540,+
5,CP035497,1,228228,267414,+
5,CP042940,1,168036,207222,+
5,CP001213,1,228419,267605,+
5,CP004053,1,228090,267275,+
5,CP031703,1,1904962,1944141,-
5,CP047190,1,228229,267415,+
5,CP001853,1,863840,902995,+
5,CP001606,1,228229,267415,+
5,CP002915,1,228238,267424,+
4,CP003497,1,83060,228225,+
4,CP003039,1,82927,228092,+
4,CP007522,1,82929,228095,+
4,CP003498,1,83060,228226,+
4,CP001515,1,83060,228226,+
4,CP009045,1,82927,228093,+
4,CP007755,1,83440,228606,+
4,CP031154,1,82927,228094,+
4,CP010433,1,83060,228226,+
4,CP017098,1,83091,228281,+
4,LR699002,1,83060,228226,+
4,CP001892,1,83060,228226,+
4,CP022724,1,585192,730354,+
4,CP035497,1,83060,228226,+
4,CP042940,1,22868,168034,+
4,CP001213,1,83497,228417,+
4,CP004053,1,82923,228088,+
4,CP031703,1,1,145175,-
4,CP047190,1,83060,228227,+
4,CP001853,1,718687,863838,+
4,CP001606,1,83060,228227,+
4,CP002915,1,83070,228236,+
3,CP003497,1,60178,79089,+
3,CP003039,1,60045,78956,+
3,CP007522,1,60051,78962,+
3,CP003498,1,60178,79089,+
3,CP001515,1,60178,79089,+
3,CP009045,1,60045,78956,+
3,CP007755,1,60558,79469,+
3,CP031154,1,60045,78956,+
3,CP010433,1,60178,79089,+
3,CP017098,1,60209,79120,+
3,LR699002,1,60178,79089,+
3,CP001892,1,60178,79089,+
3,CP022724,1,562311,581221,+
3,CP035497,1,60178,79089,+
3,CP042940,1,1,18897,+
3,CP001213,1,60615,79526,+
3,CP004053,1,60043,78952,+
3,CP031703,1,149146,168058,-
3,CP047190,1,60178,79089,+
3,CP001853,1,695805,714716,+
3,CP001606,1,60178,79089,+
3,CP002915,1,60188,79099,+
1,CP003497,1,134,51922,+
1,CP003039,1,1,51789,+
1,CP007522,1,13,51801,+
1,CP003498,1,134,51922,+
1,CP001515,1,134,51922,+
1,CP009045,1,1,51789,+
1,CP007755,1,134,51922,+
1,CP031154,1,1,51789,+
1,CP010433,1,134,51922,+
1,CP017098,1,165,51953,+
1,LR699002,1,134,51922,+
1,CP001892,1,134,51922,+
1,CP022724,1,502269,554056,+
1,CP035497,1,134,51922,+
1,CP042940,1,1884087,1935875,+
1,CP001213,1,165,51953,+
1,CP004053,1,1,51787,+
1,CP031703,1,176313,228102,-
1,CP047190,1,134,51922,+
1,CP001853,1,635782,687570,+
1,CP001606,1,134,51922,+
1,CP002915,1,163,51951,+
