strain,character_state,character_state_annotation
CP000381,3,inversion with 88h-89t
CP020402,3,inversion with 88h-89t
CP016654,0,adjacency exists
CP012694,3,inversion with 88h-89t
CP012392,0,adjacency exists
CP007524,3,inversion with 88h-89t
CP020401,3,inversion with 88h-89t
CP016672,0,adjacency exists
CP016660,0,adjacency exists
CP016646,0,adjacency exists
CP020422,3,inversion with 88h-89t
CP016647,0,adjacency exists
FM999788,3,inversion with 88h-89t
CP002422,3,inversion with 88h-89t
CP016682,0,adjacency exists
FR774048,0,adjacency exists
CP016680,0,adjacency exists
AL157959,3,inversion with 88h-89t
CP016883,0,adjacency exists
