block,species,chr,chr_beg,chr_end,orientation
102,CP017501.1,1,2617816,2632056,+
102,CP026857.1,1,58899,73139,-
102,CP017504.1,1,2670331,2684571,+
102,CP017524.1,1,2704890,2719130,+
102,CP017520.1,1,2726708,2740948,+
102,CP017523.1,1,2611990,2626230,+
102,CP004753.2,1,1158,15417,-
102,CP023043.1,1,2001,16241,-
102,CP005972.1,1,1577661,1591901,-
102,CP017543.1,1,2672373,2686613,+
102,CP006573.1,1,1446230,1460488,+
102,CP017531.1,1,1647320,1661560,+
102,CP017537.1,1,2672267,2686507,+
102,CP006957.2,1,40367,55832,-
102,CP017533.1,1,2606837,2621077,+
102,CP017539.1,1,2015356,2029596,-
102,CP017530.1,1,2616659,2630899,+
102,CP017505.1,1,2699274,2713514,+
102,CP023046.1,1,3960,18199,-
102,CP011099.1,1,71349,85589,-
102,CP017550.1,1,2718892,2733132,+
102,CP017528.1,1,2655306,2669546,+
102,CP017540.1,1,2614105,2628345,+
102,CP017538.1,1,923709,937949,-
102,CP017535.1,1,2656638,2670878,+
102,CP017536.1,1,2711989,2726229,+
102,CP017551.1,1,2722649,2736889,+
102,CP023044.1,1,70489,84729,-
102,CP017549.1,1,2663041,2677281,+
102,CP023047.1,1,67222,81462,-
102,CP004752.2,1,69858,84098,-
102,CP026858.1,1,68865,83101,-
102,CP017532.1,1,2724235,2738475,+
102,CP017548.1,1,2760903,2775143,+
102,CP017544.1,1,2755479,2769719,+
102,CP006619.1,1,2631309,2645549,+
102,CP017519.1,1,2662578,2676818,+
102,CP006574.1,1,1519663,1533903,+
102,CP011098.1,1,71345,85585,-
102,CP017491.1,1,2617824,2632064,+
102,CP017506.1,1,2699320,2713560,+
102,CP017534.1,1,2786589,2800829,+
102,CP005383.1,1,480800,495040,+
101,CP017501.1,1,2611955,2617484,+
101,CP026857.1,1,73151,78678,-
101,CP017504.1,1,2664470,2669999,+
101,CP017524.1,1,2699104,2704622,+
101,CP017520.1,1,2720906,2726424,+
101,CP017523.1,1,2606037,2611566,+
101,CP004753.2,1,15717,21245,-
101,CP023043.1,1,16565,22082,-
101,CP005972.1,1,1592169,1597697,-
101,CP017543.1,1,2666576,2672105,+
101,CP006573.1,1,1440413,1445942,+
101,CP017531.1,1,1641511,1647040,+
101,CP017537.1,1,2666430,2671959,+
101,CP006957.2,1,56080,61608,-
101,CP017533.1,1,2601096,2606625,+
101,CP017539.1,1,2029876,2035404,-
101,CP017530.1,1,2610806,2616335,+
101,CP017505.1,1,2693481,2699010,+
101,CP023046.1,1,18531,24059,-
101,CP011099.1,1,85925,91453,-
101,CP017550.1,1,2713071,2718600,+
101,CP017528.1,1,2649457,2654986,+
101,CP017540.1,1,2608244,2613773,+
101,CP017538.1,1,938260,943788,-
101,CP017535.1,1,2650817,2656346,+
101,CP017536.1,1,2706104,2711633,+
101,CP017551.1,1,2716776,2722305,+
101,CP023044.1,1,85029,90546,-
101,CP017549.1,1,2657232,2662761,+
101,CP023047.1,1,81826,87343,-
101,CP004752.2,1,84458,89986,-
101,CP026858.1,1,88184,93725,-
101,CP017532.1,1,2718458,2723987,+
101,CP017548.1,1,2755082,2760611,+
101,CP017544.1,1,2749694,2755223,+
101,CP006619.1,1,2625436,2630965,+
101,CP017519.1,1,2656837,2662366,+
101,CP006574.1,1,1513700,1519227,+
101,CP011098.1,1,85901,91429,-
101,CP017491.1,1,2611963,2617492,+
101,CP017506.1,1,2693523,2699052,+
101,CP017534.1,1,2780692,2786221,+
101,CP005383.1,1,475001,480530,+
100,CP017501.1,1,2591692,2601494,+
100,CP026857.1,1,83312,93115,-
100,CP017504.1,1,2644207,2654009,+
100,CP017524.1,1,2678841,2688643,+
100,CP017520.1,1,2700643,2710445,+
100,CP017523.1,1,2585774,2595576,+
100,CP004753.2,1,31706,41509,-
100,CP023043.1,1,32543,42346,-
100,CP005972.1,1,1608042,1617851,-
100,CP017543.1,1,2646313,2656115,+
100,CP006573.1,1,1389639,1399398,+
100,CP017531.1,1,1585602,1595404,+
100,CP017537.1,1,2646167,2655969,+
100,CP006957.2,1,71230,81031,-
100,CP017533.1,1,2580833,2590635,+
100,CP017539.1,1,2045749,2055552,-
100,CP017530.1,1,2590543,2600345,+
100,CP017505.1,1,2673334,2683136,+
100,CP023046.1,1,34404,44207,-
100,CP011099.1,1,101914,111717,-
